#[c-1]:QC33_MSMS_EL_500_1050_pp.raw
#[c-10]:QC24_MSMS_IL_150_220_pp.raw
#[c-11]:QC23_MSMS_IL_115_185_pp.raw
#[c-12]:QC22_MSMS_IL_70_140_pp.raw
#[c-2]:QC32_MSMS_EL_300_510_pp.raw
#[c-3]:QC31_MSMS_EL_200_310_pp.raw
#[c-4]:QC30_MSMS_EL_150_220_pp.raw
#[c-5]:QC29_MSMS_EL_115_185_pp.raw
#[c-6]:QC28_MSMS_EL_70_140_pp.raw
#[c-7]:QC27_MSMS_IL_500_1050_pp.raw
#[c-8]:QC26_MSMS_IL_300_510_pp.raw
#[c-9]:QC25_MSMS_IL_200_310_pp.raw
#normalize base:
#control group:c
#toprank filter:true
#mScoreThreshold:5.0
#cScoreThreshold:2.0

Rej.	LipidIon	LipidGroup	Class	FattyAcid	FA1	FA2	FA3	CalcMz	IonFormula	GroupArea[c]	GroupHeight[c]	GroupTopPos[c]	AreaRSD[c]	HeightRSD[c]	GroupPQ[c]	GroupS/N[c]	Area[c-1]	Area[c-2]	Area[c-3]	Area[c-4]	Area[c-5]	Area[c-6]	Area[c-7]	Area[c-8]	Area[c-9]	Area[c-10]	Area[c-11]	Area[c-12]	Height[c-1]	Height[c-2]	Height[c-3]	Height[c-4]	Height[c-5]	Height[c-6]	Height[c-7]	Height[c-8]	Height[c-9]	Height[c-10]	Height[c-11]	Height[c-12]	NormArea[c-1]	NormArea[c-2]	NormArea[c-3]	NormArea[c-4]	NormArea[c-5]	NormArea[c-6]	NormArea[c-7]	NormArea[c-8]	NormArea[c-9]	NormArea[c-10]	NormArea[c-11]	NormArea[c-12]	NormHeight[c-1]	NormHeight[c-2]	NormHeight[c-3]	NormHeight[c-4]	NormHeight[c-5]	NormHeight[c-6]	NormHeight[c-7]	NormHeight[c-8]	NormHeight[c-9]	NormHeight[c-10]	NormHeight[c-11]	NormHeight[c-12]	TopPos[c-1]	TopPos[c-2]	TopPos[c-3]	TopPos[c-4]	TopPos[c-5]	TopPos[c-6]	TopPos[c-7]	TopPos[c-8]	TopPos[c-9]	TopPos[c-10]	TopPos[c-11]	TopPos[c-12]	Hwhm(L)[c-1]	Hwhm(L)[c-2]	Hwhm(L)[c-3]	Hwhm(L)[c-4]	Hwhm(L)[c-5]	Hwhm(L)[c-6]	Hwhm(L)[c-7]	Hwhm(L)[c-8]	Hwhm(L)[c-9]	Hwhm(L)[c-10]	Hwhm(L)[c-11]	Hwhm(L)[c-12]	Hwhm(R)[c-1]	Hwhm(R)[c-2]	Hwhm(R)[c-3]	Hwhm(R)[c-4]	Hwhm(R)[c-5]	Hwhm(R)[c-6]	Hwhm(R)[c-7]	Hwhm(R)[c-8]	Hwhm(R)[c-9]	Hwhm(R)[c-10]	Hwhm(R)[c-11]	Hwhm(R)[c-12]	AreaScore[c-1]	AreaScore[c-2]	AreaScore[c-3]	AreaScore[c-4]	AreaScore[c-5]	AreaScore[c-6]	AreaScore[c-7]	AreaScore[c-8]	AreaScore[c-9]	AreaScore[c-10]	AreaScore[c-11]	AreaScore[c-12]	DataId[c-1]	DataId[c-2]	DataId[c-3]	DataId[c-4]	DataId[c-5]	DataId[c-6]	DataId[c-7]	DataId[c-8]	DataId[c-9]	DataId[c-10]	DataId[c-11]	DataId[c-12]	Scan[c-1]	Scan[c-2]	Scan[c-3]	Scan[c-4]	Scan[c-5]	Scan[c-6]	Scan[c-7]	Scan[c-8]	Scan[c-9]	Scan[c-10]	Scan[c-11]	Scan[c-12]	ObsMz[c-1]	ObsMz[c-2]	ObsMz[c-3]	ObsMz[c-4]	ObsMz[c-5]	ObsMz[c-6]	ObsMz[c-7]	ObsMz[c-8]	ObsMz[c-9]	ObsMz[c-10]	ObsMz[c-11]	ObsMz[c-12]	Rt[c-1]	Rt[c-2]	Rt[c-3]	Rt[c-4]	Rt[c-5]	Rt[c-6]	Rt[c-7]	Rt[c-8]	Rt[c-9]	Rt[c-10]	Rt[c-11]	Rt[c-12]	It.[c-1]	It.[c-2]	It.[c-3]	It.[c-4]	It.[c-5]	It.[c-6]	It.[c-7]	It.[c-8]	It.[c-9]	It.[c-10]	It.[c-11]	It.[c-12]	z[c-1]	z[c-2]	z[c-3]	z[c-4]	z[c-5]	z[c-6]	z[c-7]	z[c-8]	z[c-9]	z[c-10]	z[c-11]	z[c-12]	Delta(Da)[c-1]	Delta(Da)[c-2]	Delta(Da)[c-3]	Delta(Da)[c-4]	Delta(Da)[c-5]	Delta(Da)[c-6]	Delta(Da)[c-7]	Delta(Da)[c-8]	Delta(Da)[c-9]	Delta(Da)[c-10]	Delta(Da)[c-11]	Delta(Da)[c-12]	Delta(ppm)[c-1]	Delta(ppm)[c-2]	Delta(ppm)[c-3]	Delta(ppm)[c-4]	Delta(ppm)[c-5]	Delta(ppm)[c-6]	Delta(ppm)[c-7]	Delta(ppm)[c-8]	Delta(ppm)[c-9]	Delta(ppm)[c-10]	Delta(ppm)[c-11]	Delta(ppm)[c-12]	mScore[c-1]	mScore[c-2]	mScore[c-3]	mScore[c-4]	mScore[c-5]	mScore[c-6]	mScore[c-7]	mScore[c-8]	mScore[c-9]	mScore[c-10]	mScore[c-11]	mScore[c-12]	Grade[c-1]	Grade[c-2]	Grade[c-3]	Grade[c-4]	Grade[c-5]	Grade[c-6]	Grade[c-7]	Grade[c-8]	Grade[c-9]	Grade[c-10]	Grade[c-11]	Grade[c-12]	Occupy[c-1]	Occupy[c-2]	Occupy[c-3]	Occupy[c-4]	Occupy[c-5]	Occupy[c-6]	Occupy[c-7]	Occupy[c-8]	Occupy[c-9]	Occupy[c-10]	Occupy[c-11]	Occupy[c-12]	PQ[c-1]	PQ[c-2]	PQ[c-3]	PQ[c-4]	PQ[c-5]	PQ[c-6]	PQ[c-7]	PQ[c-8]	PQ[c-9]	PQ[c-10]	PQ[c-11]	PQ[c-12]	S/N[c-1]	S/N[c-2]	S/N[c-3]	S/N[c-4]	S/N[c-5]	S/N[c-6]	S/N[c-7]	S/N[c-8]	S/N[c-9]	S/N[c-10]	S/N[c-11]	S/N[c-12]	IntensityRatio[c-1]	IntensityRatio[c-2]	IntensityRatio[c-3]	IntensityRatio[c-4]	IntensityRatio[c-5]	IntensityRatio[c-6]	IntensityRatio[c-7]	IntensityRatio[c-8]	IntensityRatio[c-9]	IntensityRatio[c-10]	IntensityRatio[c-11]	IntensityRatio[c-12]	PeakDataPoint[c-1]	PeakDataPoint[c-2]	PeakDataPoint[c-3]	PeakDataPoint[c-4]	PeakDataPoint[c-5]	PeakDataPoint[c-6]	PeakDataPoint[c-7]	PeakDataPoint[c-8]	PeakDataPoint[c-9]	PeakDataPoint[c-10]	PeakDataPoint[c-11]	PeakDataPoint[c-12]	
0	AcCa(10:1)+H	AcCa(10:1)+H	AcCa	(10:1)	(10:1)			314.23258547000006	C17 H32 O4 N1	4653313.704	907625.091	4.458495100384314	1.529403984837583	0.08959308518885947	0.98	940205.63	0.0	4653313.704	0.0	0.0	0.0	0.0	0.0	4553743.803	0.0	0.0	0.0	0.0	0.0	906475.824	0.0	0.0	0.0	0.0	0.0	907625.091	0.0	0.0	0.0	0.0																										4.458						4.462					0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.043	0.0	0.0	0.0	0.0	0.0	0.042	0.0	0.0	0.0	0.0		0.93						0.93					-10	243	-9	-8	-7	-6	-5	245	-4	-3	-2		MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2		314.232401						314.232494					4.458495100384314	4.458	4.458495100384314	4.458495100384314	4.458495100384314	4.458495100384314	4.458495100384314	4.462	4.458495100384314	4.458495100384314	4.458495100384314	4.458495100384314		372563.0						438731.90625					1	1	1	1	1	1	1	1	1	1	1	1	314.23258547000006	1.8447000007881798E-4	314.23258547000006	314.23258547000006	314.23258547000006	314.23258547000006	314.23258547000006	9.147000008624673E-5	314.23258547000006	314.23258547000006	314.23258547000006	314.23258547000006	1000000.0	0.5870492387124804	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	0.2910901170527377	1000000.0	1000000.0	1000000.0	1000000.0	0.0	42.662623744646915	0.0	0.0	0.0	0.0	0.0	42.602196246977684	0.0	0.0	0.0	0.0		A						A					0.0	85.32524748929383	0.0	0.0	0.0	0.0	0.0	85.20439249395537	0.0	0.0	0.0	0.0		0.98						0.99						940205.63						934042.56						18.9254						16.2319					0	17	0	0	0	0	0	17	0	0	0	0	
0	AcCa(10:2)+H	AcCa(10:2)+H	AcCa	(10:2)	(10:2)			312.21693547000007	C17 H30 O4 N1	1.3281900485E7	3769200.034	4.530551224394264	1.0966842216667214	2.420062391170642	0.98	49.05814250315143	0.0	1.3077490564E7	0.0	0.0	0.0	0.0	0.0	1.3281900485E7	0.0	0.0	0.0	0.0	0.0	3769200.034	0.0	0.0	0.0	0.0	0.0	3642370.094	0.0	0.0	0.0	0.0																										4.53						4.532					0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0		0.94						0.92					-20	249	-19	-18	-17	-16	-15	249	-14	-13	-12	-11	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2		312.21669						312.216855					4.530551224394264	4.53	4.530551224394264	4.530551224394264	4.530551224394264	4.530551224394264	4.530551224394264	4.532	4.530551224394264	4.530551224394264	4.530551224394264	4.530551224394264		734033.5625						316067.40625					1	1	1	1	1	1	1	1	1	1	1	1	312.21693547000007	2.454700000384946E-4	312.21693547000007	312.21693547000007	312.21693547000007	312.21693547000007	312.21693547000007	8.047000005717564E-5	312.21693547000007	312.21693547000007	312.21693547000007	312.21693547000007	1000000.0	0.786216159828015	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	0.25773746044889917	1000000.0	1000000.0	1000000.0	1000000.0	0.0	32.14591408258129	0.0	0.0	0.0	0.0	0.0	35.01764037003172	0.0	0.0	0.0	0.0		A						A					0.0	64.29182816516258	0.0	0.0	0.0	0.0	0.0	70.03528074006344	0.0	0.0	0.0	0.0		0.99						0.98						1065.3772285691887						49.05814250315143						42.9365						55.2798					0	12	0	0	0	0	0	12	0	0	0	0	
0	AcCa(12:2)+H	AcCa(12:2)+H	AcCa	(12:2)	(12:2)			340.24823547000005	C19 H34 O4 N1	1822041.542	362482.266	4.31337394035642	2.8944536302375776	3.266141374191801	0.93	109.08999189468314	0.0	1822041.542	0.0	0.0	0.0	0.0	0.0	1748954.404	0.0	0.0	0.0	0.0	0.0	362482.266	0.0	0.0	0.0	0.0	0.0	346117.088	0.0	0.0	0.0	0.0																										4.31						4.316					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.0		1.0						0.85					-30	238	-29	-28	-27	-26	-25	240	-24	-23	-22	-21	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2		340.248003						340.247843					4.31337394035642	4.31	4.31337394035642	4.31337394035642	4.31337394035642	4.31337394035642	4.31337394035642	4.316	4.31337394035642	4.31337394035642	4.31337394035642	4.31337394035642		330831.90625						305198.5					1	1	1	1	1	1	1	1	1	1	1	1	340.24823547000005	2.3247000007131646E-4	340.24823547000005	340.24823547000005	340.24823547000005	340.24823547000005	340.24823547000005	3.9247000006525923E-4	340.24823547000005	340.24823547000005	340.24823547000005	340.24823547000005	1000000.0	0.6832364604336457	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1.153481367869911	1000000.0	1000000.0	1000000.0	1000000.0	0.0	34.601153250607034	0.0	0.0	0.0	0.0	0.0	35.10145407773791	0.0	0.0	0.0	0.0		A						A					0.0	69.20230650121407	0.0	0.0	0.0	0.0	0.0	70.20290815547582	0.0	0.0	0.0	0.0		0.93						0.89						109.08999189468314						9.672940374186169						6.7439						6.9444					0	19	0	0	0	0	0	19	0	0	0	0	
0	AcCa(12:3)+H	AcCa(12:3)+H	AcCa	(12:3)	(12:3)			338.23258547000006	C19 H32 O4 N1	4837930.05	1500644.492	4.382016887123876	2.6694892934815373	1.9522641737872535	0.99	442.0351260940032	0.0	4658670.883	0.0	0.0	0.0	0.0	0.0	4837930.05	0.0	0.0	0.0	0.0	0.0	1459777.079	0.0	0.0	0.0	0.0	0.0	1500644.492	0.0	0.0	0.0	0.0																										4.381						4.386					0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0		0.91						0.88					-40	241	-39	-38	-37	-36	-35	242	-34	-33	-32	-31	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2		338.232193						338.232204					4.382016887123876	4.381	4.382016887123876	4.382016887123876	4.382016887123876	4.382016887123876	4.382016887123876	4.386	4.382016887123876	4.382016887123876	4.382016887123876	4.382016887123876		825131.1875						523231.9375					1	1	1	1	1	1	1	1	1	1	1	1	338.23258547000006	3.9247000006525923E-4	338.23258547000006	338.23258547000006	338.23258547000006	338.23258547000006	338.23258547000006	3.8147000003618814E-4	338.23258547000006	338.23258547000006	338.23258547000006	338.23258547000006	1000000.0	1.1603553794791597	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1.1278333798208897	1000000.0	1000000.0	1000000.0	1000000.0	0.0	19.451775153426503	0.0	0.0	0.0	0.0	0.0	19.822065671207557	0.0	0.0	0.0	0.0		A						A					0.0	48.629437883566254	0.0	0.0	0.0	0.0	0.0	49.55516417801889	0.0	0.0	0.0	0.0		1.0						0.99						433.56984348602373						442.0351260940032						26.6304						13.5202					0	14	0	0	0	0	0	14	0	0	0	0	
0	AcCa(14:1)+H	AcCa(14:1)+H	AcCa	(14:1)	(14:1)			370.2951854700001	C21 H40 O4 N1	2000252.111	273114.362	4.134244696468352	6.429221731455298	11.816594440641499	0.98	106.52563221041913	0.0	1826291.826	0.0	0.0	0.0	0.0	0.0	2000252.111	0.0	0.0	0.0	0.0	0.0	273114.362	0.0	0.0	0.0	0.0	0.0	230993.182	0.0	0.0	0.0	0.0																										4.12						4.146					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.054	0.0	0.0	0.0	0.0		1.0						0.8					-50	226	-49	-48	-47	-46	-45	229	-44	-43	-42	-41	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2		370.29486						370.294901					4.134244696468352	4.12	4.134244696468352	4.134244696468352	4.134244696468352	4.134244696468352	4.134244696468352	4.146	4.134244696468352	4.134244696468352	4.134244696468352	4.134244696468352		243458.875						229863.78125					1	1	1	1	1	1	1	1	1	1	1	1	370.2951854700001	3.254700000638877E-4	370.2951854700001	370.2951854700001	370.2951854700001	370.2951854700001	370.2951854700001	2.8447000011055934E-4	370.2951854700001	370.2951854700001	370.2951854700001	370.2951854700001	1000000.0	0.8789474258240283	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	0.7682249493724677	1000000.0	1000000.0	1000000.0	1000000.0	0.0	26.545101063116608	0.0	0.0	0.0	0.0	0.0	15.85709144150145	0.0	0.0	0.0	0.0		A						A					0.0	66.36275265779152	0.0	0.0	0.0	0.0	0.0	52.8569714716715	0.0	0.0	0.0	0.0		0.78						0.98						268.0829014006489						106.52563221041913						11.4132						7.7786					0	22	0	0	0	0	0	24	0	0	0	0	
0	AcCa(14:2)+H	AcCa(14:2)+H	AcCa	(14:2)	(14:2)			368.27953547000004	C21 H38 O4 N1	1132513.598	271388.017	4.1670532917627	0.33157954193589495	1.536970481489001	0.97	15.106908434572114	0.0	1132513.598	0.0	0.0	0.0	0.0	0.0	1127215.389	0.0	0.0	0.0	0.0	0.0	265552.535	0.0	0.0	0.0	0.0	0.0	271388.017	0.0	0.0	0.0	0.0																										4.164						4.17					0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.0	0.0	0.0		0.91						0.89					-60	232	-59	-58	-57	-56	-55	234	-54	-53	-52	-51	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2		368.279419						368.279205					4.1670532917627	4.164	4.1670532917627	4.1670532917627	4.1670532917627	4.1670532917627	4.1670532917627	4.17	4.1670532917627	4.1670532917627	4.1670532917627	4.1670532917627		238464.171875						269644.1875					1	1	1	1	1	1	1	1	1	1	1	1	368.27953547000004	1.164700000231278E-4	368.27953547000004	368.27953547000004	368.27953547000004	368.27953547000004	368.27953547000004	3.304700000512639E-4	368.27953547000004	368.27953547000004	368.27953547000004	368.27953547000004	1000000.0	0.31625433619190446	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	0.8973346825517106	1000000.0	1000000.0	1000000.0	1000000.0	0.0	12.626814283876865	0.0	0.0	0.0	0.0	0.0	11.012724713473808	0.0	0.0	0.0	0.0		A						A					0.0	63.13407141938433	0.0	0.0	0.0	0.0	0.0	55.063623567369035	0.0	0.0	0.0	0.0		0.97						0.99						15.106908434572114						112.05746945814396						37.1858						15.5808					0	16	0	0	0	0	0	16	0	0	0	0	
0	AcCa(14:3)+H	AcCa(14:3)+H	AcCa	(14:3)	(14:3)			366.26388547000005	C21 H36 O4 N1	2930668.415	812283.283	4.2380481799649505	1.5136749071320554	0.5889437645231349	0.99	345.494082152236	0.0	2868597.148	0.0	0.0	0.0	0.0	0.0	2930668.415	0.0	0.0	0.0	0.0	0.0	812283.283	0.0	0.0	0.0	0.0	0.0	805545.896	0.0	0.0	0.0	0.0																										4.234						4.242					0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.0		0.89						0.89					-70	235	-69	-68	-67	-66	-65	237	-64	-63	-62	-61	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2		366.263766						366.263839					4.2380481799649505	4.234	4.2380481799649505	4.2380481799649505	4.2380481799649505	4.2380481799649505	4.2380481799649505	4.242	4.2380481799649505	4.2380481799649505	4.2380481799649505	4.2380481799649505		532444.4375						420283.5625					1	1	1	1	1	1	1	1	1	1	1	1	366.26388547000005	1.1947000007239694E-4	366.26388547000005	366.26388547000005	366.26388547000005	366.26388547000005	366.26388547000005	4.647000002933055E-5	366.26388547000005	366.26388547000005	366.26388547000005	366.26388547000005	1000000.0	0.3261855858900467	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	0.12687573597298282	1000000.0	1000000.0	1000000.0	1000000.0	0.0	20.778027095982434	0.0	0.0	0.0	0.0	0.0	15.033717560826727	0.0	0.0	0.0	0.0		A						A					0.0	51.94506773995609	0.0	0.0	0.0	0.0	0.0	50.112391869422424	0.0	0.0	0.0	0.0		1.0						0.99						18.859134423815405						345.494082152236						30.9122						12.4259					0	15	0	0	0	0	0	15	0	0	0	0	
0	AcCa(16:0)+H	AcCa(16:0)+H	AcCa	(16:0)	(16:0)			400.34213547	C23 H46 O4 N1	6405075.503	1365831.359	4.051	0.7492497947296823	5.466489575973939	0.99	25.315597433243354	0.0	6405075.503	0.0	0.0	0.0	0.0	0.0	6337565.043	0.0	0.0	0.0	0.0	0.0	1365831.359	0.0	0.0	0.0	0.0	0.0	1264171.445	0.0	0.0	0.0	0.0																										4.05						4.053					0.0	0.034	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.042	0.0	0.0	0.0	0.0		0.88						0.94					-81	-80	-79	-78	-77	-76	-75	217	-74	-73	-72	-71	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2		400.34214						400.341625					4.051	4.05	4.051	4.051	4.051	4.051	4.051	4.053	4.051	4.051	4.051	4.051								248779.0625					1	1	1	1	1	1	1	1	1	1	1	1	400.34213547	4.5299999555936665E-6	400.34213547	400.34213547	400.34213547	400.34213547	400.34213547	5.104699999947115E-4	400.34213547	400.34213547	400.34213547	400.34213547	1000000.0	0.011315321456922003	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1.2750843710103656	1000000.0	1000000.0	1000000.0	1000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.352813485707525	0.0	0.0	0.0	0.0								A					0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.84271161902508	0.0	0.0	0.0	0.0		0.99						0.99						25.315597433243354						14.508256396822588						40.3266						15.185					0	18	0	0	0	0	0	18	0	0	0	0	
0	AcCa(16:1)+H	AcCa(16:1)+H	AcCa	(16:1)	(16:1)			398.3264854700001	C23 H44 O4 N1	2796451.572	414196.486	4.053	1.1198976988147331	6.705880239725068	0.99	13.990425958411729	0.0	2752510.052	0.0	0.0	0.0	0.0	0.0	2796451.572	0.0	0.0	0.0	0.0	0.0	414196.486	0.0	0.0	0.0	0.0	0.0	376694.24	0.0	0.0	0.0	0.0																										4.053						4.054					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.065	0.0	0.0	0.0	0.0		1.0						0.88					-91	222	-90	-89	-88	-87	-86	222	-85	-84	-83	-82	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2		398.32598						398.325853					4.053	4.053	4.053	4.053	4.053	4.053	4.053	4.054	4.053	4.053	4.053	4.053		269544.09375						290637.65625					1	1	1	1	1	1	1	1	1	1	1	1	398.3264854700001	5.054700000641787E-4	398.3264854700001	398.3264854700001	398.3264854700001	398.3264854700001	398.3264854700001	6.324700000845951E-4	398.3264854700001	398.3264854700001	398.3264854700001	398.3264854700001	1000000.0	1.2689841587303845	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1.5878180918306763	1000000.0	1000000.0	1000000.0	1000000.0	0.0	5.089295960671871	0.0	0.0	0.0	0.0	0.0	18.0982348479456	0.0	0.0	0.0	0.0		B						A					0.0	50.89295960671871	0.0	0.0	0.0	0.0	0.0	60.32744949315201	0.0	0.0	0.0	0.0		1.0						0.99						13.825895071462613						13.990425958411729						11.134						11.5821					0	24	0	0	0	0	0	24	0	0	0	0	
0	AcCa(18:1)+H	AcCa(18:1)+H	AcCa	(18:1)	(18:1)			426.35778547000007	C25 H48 O4 N1	3991677.168	764681.661	3.961	1.2361191019418374	1.260511836375889	0.99	18.665935891116153	0.0	3922501.846	0.0	0.0	0.0	0.0	0.0	3991677.168	0.0	0.0	0.0	0.0	0.0	751170.62	0.0	0.0	0.0	0.0	0.0	764681.661	0.0	0.0	0.0	0.0																										3.952						3.96					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1.0						1.0					-102	-101	-100	-99	-98	-97	-96	210	-95	-94	-93	-92	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2		426.35779						426.357049					3.961	3.952	3.961	3.961	3.961	3.961	3.961	3.96	3.961	3.961	3.961	3.961								432071.6875					1	1	1	1	1	1	1	1	1	1	1	1	426.35778547000007	4.5299999555936665E-6	426.35778547000007	426.35778547000007	426.35778547000007	426.35778547000007	426.35778547000007	7.36470000049394E-4	426.35778547000007	426.35778547000007	426.35778547000007	426.35778547000007	1000000.0	0.010624879174189285	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1.727352062394119	1000000.0	1000000.0	1000000.0	1000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.14611917489162	0.0	0.0	0.0	0.0								A					0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.36529793722906	0.0	0.0	0.0	0.0		0.99						0.99						21.130485778858496						18.665935891116153						36.1271						47.7806					0	20	0	0	0	0	0	18	0	0	0	0	
