#[c-1]:QC33_MSMS_EL_1000_2000_lp.raw
#[c-10]:QC24_MSMS_IL_355_460_lp.raw
#[c-11]:QC23_MSMS_IL_290_365_lp.raw
#[c-12]:QC22_MSMS_IL_150_300_lp.raw
#[c-2]:QC32_MSMS_EL_850_1010_lp.raw
#[c-3]:QC31_MSMS_EL_450_860_lp.raw
#[c-4]:QC30_MSMS_EL_355_460_lp.raw
#[c-5]:QC29_MSMS_EL_290_365_lp.raw
#[c-6]:QC28_MSMS_EL_150_300_lp.raw
#[c-7]:QC27_MSMS_IL_1000_2000_lp.raw
#[c-8]:QC26_MSMS_IL_850_1010_lp.raw
#[c-9]:QC25_MSMS_IL_450_860_lp.raw
#normalize base:
#control group:c
#toprank filter:true
#mScoreThreshold:5.0
#cScoreThreshold:2.0

Rej.	LipidIon	LipidGroup	Class	FattyAcid	FA1	FA2	FA3	CalcMz	IonFormula	GroupArea[c]	GroupHeight[c]	GroupTopPos[c]	AreaRSD[c]	HeightRSD[c]	GroupPQ[c]	GroupS/N[c]	Area[c-1]	Area[c-2]	Area[c-3]	Area[c-4]	Area[c-5]	Area[c-6]	Area[c-7]	Area[c-8]	Area[c-9]	Area[c-10]	Area[c-11]	Area[c-12]	Height[c-1]	Height[c-2]	Height[c-3]	Height[c-4]	Height[c-5]	Height[c-6]	Height[c-7]	Height[c-8]	Height[c-9]	Height[c-10]	Height[c-11]	Height[c-12]	NormArea[c-1]	NormArea[c-2]	NormArea[c-3]	NormArea[c-4]	NormArea[c-5]	NormArea[c-6]	NormArea[c-7]	NormArea[c-8]	NormArea[c-9]	NormArea[c-10]	NormArea[c-11]	NormArea[c-12]	NormHeight[c-1]	NormHeight[c-2]	NormHeight[c-3]	NormHeight[c-4]	NormHeight[c-5]	NormHeight[c-6]	NormHeight[c-7]	NormHeight[c-8]	NormHeight[c-9]	NormHeight[c-10]	NormHeight[c-11]	NormHeight[c-12]	TopPos[c-1]	TopPos[c-2]	TopPos[c-3]	TopPos[c-4]	TopPos[c-5]	TopPos[c-6]	TopPos[c-7]	TopPos[c-8]	TopPos[c-9]	TopPos[c-10]	TopPos[c-11]	TopPos[c-12]	Hwhm(L)[c-1]	Hwhm(L)[c-2]	Hwhm(L)[c-3]	Hwhm(L)[c-4]	Hwhm(L)[c-5]	Hwhm(L)[c-6]	Hwhm(L)[c-7]	Hwhm(L)[c-8]	Hwhm(L)[c-9]	Hwhm(L)[c-10]	Hwhm(L)[c-11]	Hwhm(L)[c-12]	Hwhm(R)[c-1]	Hwhm(R)[c-2]	Hwhm(R)[c-3]	Hwhm(R)[c-4]	Hwhm(R)[c-5]	Hwhm(R)[c-6]	Hwhm(R)[c-7]	Hwhm(R)[c-8]	Hwhm(R)[c-9]	Hwhm(R)[c-10]	Hwhm(R)[c-11]	Hwhm(R)[c-12]	AreaScore[c-1]	AreaScore[c-2]	AreaScore[c-3]	AreaScore[c-4]	AreaScore[c-5]	AreaScore[c-6]	AreaScore[c-7]	AreaScore[c-8]	AreaScore[c-9]	AreaScore[c-10]	AreaScore[c-11]	AreaScore[c-12]	DataId[c-1]	DataId[c-2]	DataId[c-3]	DataId[c-4]	DataId[c-5]	DataId[c-6]	DataId[c-7]	DataId[c-8]	DataId[c-9]	DataId[c-10]	DataId[c-11]	DataId[c-12]	Scan[c-1]	Scan[c-2]	Scan[c-3]	Scan[c-4]	Scan[c-5]	Scan[c-6]	Scan[c-7]	Scan[c-8]	Scan[c-9]	Scan[c-10]	Scan[c-11]	Scan[c-12]	ObsMz[c-1]	ObsMz[c-2]	ObsMz[c-3]	ObsMz[c-4]	ObsMz[c-5]	ObsMz[c-6]	ObsMz[c-7]	ObsMz[c-8]	ObsMz[c-9]	ObsMz[c-10]	ObsMz[c-11]	ObsMz[c-12]	Rt[c-1]	Rt[c-2]	Rt[c-3]	Rt[c-4]	Rt[c-5]	Rt[c-6]	Rt[c-7]	Rt[c-8]	Rt[c-9]	Rt[c-10]	Rt[c-11]	Rt[c-12]	It.[c-1]	It.[c-2]	It.[c-3]	It.[c-4]	It.[c-5]	It.[c-6]	It.[c-7]	It.[c-8]	It.[c-9]	It.[c-10]	It.[c-11]	It.[c-12]	z[c-1]	z[c-2]	z[c-3]	z[c-4]	z[c-5]	z[c-6]	z[c-7]	z[c-8]	z[c-9]	z[c-10]	z[c-11]	z[c-12]	Delta(Da)[c-1]	Delta(Da)[c-2]	Delta(Da)[c-3]	Delta(Da)[c-4]	Delta(Da)[c-5]	Delta(Da)[c-6]	Delta(Da)[c-7]	Delta(Da)[c-8]	Delta(Da)[c-9]	Delta(Da)[c-10]	Delta(Da)[c-11]	Delta(Da)[c-12]	Delta(ppm)[c-1]	Delta(ppm)[c-2]	Delta(ppm)[c-3]	Delta(ppm)[c-4]	Delta(ppm)[c-5]	Delta(ppm)[c-6]	Delta(ppm)[c-7]	Delta(ppm)[c-8]	Delta(ppm)[c-9]	Delta(ppm)[c-10]	Delta(ppm)[c-11]	Delta(ppm)[c-12]	mScore[c-1]	mScore[c-2]	mScore[c-3]	mScore[c-4]	mScore[c-5]	mScore[c-6]	mScore[c-7]	mScore[c-8]	mScore[c-9]	mScore[c-10]	mScore[c-11]	mScore[c-12]	Grade[c-1]	Grade[c-2]	Grade[c-3]	Grade[c-4]	Grade[c-5]	Grade[c-6]	Grade[c-7]	Grade[c-8]	Grade[c-9]	Grade[c-10]	Grade[c-11]	Grade[c-12]	Occupy[c-1]	Occupy[c-2]	Occupy[c-3]	Occupy[c-4]	Occupy[c-5]	Occupy[c-6]	Occupy[c-7]	Occupy[c-8]	Occupy[c-9]	Occupy[c-10]	Occupy[c-11]	Occupy[c-12]	PQ[c-1]	PQ[c-2]	PQ[c-3]	PQ[c-4]	PQ[c-5]	PQ[c-6]	PQ[c-7]	PQ[c-8]	PQ[c-9]	PQ[c-10]	PQ[c-11]	PQ[c-12]	S/N[c-1]	S/N[c-2]	S/N[c-3]	S/N[c-4]	S/N[c-5]	S/N[c-6]	S/N[c-7]	S/N[c-8]	S/N[c-9]	S/N[c-10]	S/N[c-11]	S/N[c-12]	IntensityRatio[c-1]	IntensityRatio[c-2]	IntensityRatio[c-3]	IntensityRatio[c-4]	IntensityRatio[c-5]	IntensityRatio[c-6]	IntensityRatio[c-7]	IntensityRatio[c-8]	IntensityRatio[c-9]	IntensityRatio[c-10]	IntensityRatio[c-11]	IntensityRatio[c-12]	PeakDataPoint[c-1]	PeakDataPoint[c-2]	PeakDataPoint[c-3]	PeakDataPoint[c-4]	PeakDataPoint[c-5]	PeakDataPoint[c-6]	PeakDataPoint[c-7]	PeakDataPoint[c-8]	PeakDataPoint[c-9]	PeakDataPoint[c-10]	PeakDataPoint[c-11]	PeakDataPoint[c-12]	
0	AcCa(14:0)+H	AcCa(14:0)+H	AcCa	(14:0)	(14:0)			372.31083547000003	C21 H42 O4 N1	6014268.257	806799.611	1.572	3.1836467324131563	5.549376162412643	0.82	42.703156015793596	0.0	0.0	0.0	5749446.085	0.0	0.0	0.0	0.0	0.0	6014268.257	0.0	0.0	0.0	0.0	0.0	745872.725	0.0	0.0	0.0	0.0	0.0	806799.611	0.0	0.0																												1.573						1.558			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				1.0						1.0			-11	-10	-9	250	-8	-7	-6	-5	-4	-3	-2		MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2				372.311084						372.31084			1.572	1.572	1.572	1.573	1.572	1.572	1.572	1.572	1.572	1.558	1.572	1.572				381632.375									1	1	1	1	1	1	1	1	1	1	1	1	372.31083547000003	372.31083547000003	372.31083547000003	2.485299999648305E-4	372.31083547000003	372.31083547000003	372.31083547000003	372.31083547000003	372.31083547000003	4.5299999555936665E-6	372.31083547000003	372.31083547000003	1000000.0	1000000.0	1000000.0	0.6675336205326651	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	0.012167252532081311	1000000.0	1000000.0	0.0	0.0	0.0	11.893857363978368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				B									0.0	0.0	0.0	59.46928681989184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				0.97						0.82						23.323543028868922						42.703156015793596						19.9893						22.5437			0	0	0	37	0	0	0	0	0	34	0	0	
0	AcCa(15:0)+H	AcCa(15:0)+H	AcCa	(15:0)	(15:0)			386.3264854700001	C22 H44 O4 N1	2563505.947	246073.593	1.904	3.67076025345534	4.752549691196964	0.67	8.902540188369215	0.0	0.0	0.0	2433795.03	0.0	0.0	0.0	0.0	0.0	2563505.947	0.0	0.0	0.0	0.0	0.0	230072.42	0.0	0.0	0.0	0.0	0.0	246073.593	0.0	0.0																												1.921						1.906			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				1.0						1.0			-22	-21	-20	-19	-18	-17	-16	-15	-14	298	-13	-12	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2				386.32649						386.32641			1.904	1.904	1.904	1.921	1.904	1.904	1.904	1.904	1.904	1.906	1.904	1.904										219888.515625			1	1	1	1	1	1	1	1	1	1	1	1	386.3264854700001	386.3264854700001	386.3264854700001	4.529999898750248E-6	386.3264854700001	386.3264854700001	386.3264854700001	386.3264854700001	386.3264854700001	7.547000006979943E-5	386.3264854700001	386.3264854700001	1000000.0	1000000.0	1000000.0	0.011725833120758223	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	0.19535290203565397	1000000.0	1000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.24179222158157	0.0	0.0										B			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.20896110790785	0.0	0.0				0.95						0.67						6.090831838258653						8.902540188369215						7.6451						10.5088			0	0	0	69	0	0	0	0	0	62	0	0	
0	AcCa(16:0)+H	AcCa(16:0)+H	AcCa	(16:0)	(16:0)			400.34213547	C23 H46 O4 N1	4.2486219231E7	4386218.186	2.507	3.358544686905297	0.41095207400293027	0.93	231.6677582243378	0.0	0.0	0.0	4.0515063498E7	0.0	0.0	0.0	0.0	0.0	4.2486219231E7	0.0	0.0	0.0	0.0	0.0	4386218.186	0.0	0.0	0.0	0.0	0.0	4360800.487	0.0	0.0																												2.511						2.506			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				1.0						1.0			-33	-32	-31	-30	-29	-28	-27	-26	-25	339	-24	-23	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2				400.34214						400.341705			2.507	2.507	2.507	2.511	2.507	2.507	2.507	2.507	2.507	2.506	2.507	2.507										3987026.0			1	1	1	1	1	1	1	1	1	1	1	1	400.34213547	400.34213547	400.34213547	4.5299999555936665E-6	400.34213547	400.34213547	400.34213547	400.34213547	400.34213547	4.3047000002616187E-4	400.34213547	400.34213547	1000000.0	1000000.0	1000000.0	0.011315321456922003	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1.0752552926281214	1000000.0	1000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.94229602804644	0.0	0.0										A			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.80765342682146	0.0	0.0				0.93						0.93						230.33593575149072						231.6677582243378						40.869						47.1875			0	0	0	58	0	0	0	0	0	55	0	0	
0	AcCa(16:1)+H	AcCa(16:1)+H	AcCa	(16:1)	(16:1)			398.3264854700001	C23 H44 O4 N1	1.1698414033E7	1420146.787	1.7409421934103766	0.1375620165631745	3.14437295421479	0.97	69.32384356682901	0.0	0.0	0.0	1.1698414033E7	0.0	0.0	0.0	0.0	0.0	1.1675677812E7	0.0	0.0	0.0	0.0	0.0	1358369.059	0.0	0.0	0.0	0.0	0.0	1420146.787	0.0	0.0																												1.741						1.738			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				1.0						1.0			-43	-42	-41	278	-40	-39	-38	-37	-36	273	-35	-34	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2				398.32652						398.326256			1.7409421934103766	1.7409421934103766	1.7409421934103766	1.741	1.7409421934103766	1.7409421934103766	1.7409421934103766	1.7409421934103766	1.7409421934103766	1.738	1.7409421934103766	1.7409421934103766				593511.9375						440186.84375			1	1	1	1	1	1	1	1	1	1	1	1	398.3264854700001	398.3264854700001	398.3264854700001	3.452999993669437E-5	398.3264854700001	398.3264854700001	398.3264854700001	398.3264854700001	398.3264854700001	2.2947000007889073E-4	398.3264854700001	398.3264854700001	1000000.0	1000000.0	1000000.0	0.08668768258267122	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	0.5760852176528775	1000000.0	1000000.0	0.0	0.0	0.0	13.832431630446504	0.0	0.0	0.0	0.0	0.0	10.50014577474882	0.0	0.0				B						B			0.0	0.0	0.0	69.16215815223252	0.0	0.0	0.0	0.0	0.0	52.500728873744094	0.0	0.0				0.97						0.99						69.32384356682901						75.28035769927189						30.6654						24.7737			0	0	0	46	0	0	0	0	0	43	0	0	
0	AcCa(18:1)+H	AcCa(18:1)+H	AcCa	(18:1)	(18:1)			426.35778547000007	C25 H48 O4 N1	2.595530833E7	2596554.049	2.725	7.397760037437245	3.1367443843339013	0.99	103.79289507938549	0.0	0.0	0.0	2.3374844912E7	0.0	0.0	0.0	0.0	0.0	2.595530833E7	0.0	0.0	0.0	0.0	0.0	2483869.581	0.0	0.0	0.0	0.0	0.0	2596554.049	0.0	0.0																												2.736						2.724			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				1.0						1.0			-54	-53	-52	-51	-50	-49	-48	-47	-46	345	-45	-44	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2				426.35779						426.357452			2.725	2.725	2.725	2.736	2.725	2.725	2.725	2.725	2.725	2.724	2.725	2.725										322680.8125			1	1	1	1	1	1	1	1	1	1	1	1	426.35778547000007	426.35778547000007	426.35778547000007	4.5299999555936665E-6	426.35778547000007	426.35778547000007	426.35778547000007	426.35778547000007	426.35778547000007	3.3347000004368965E-4	426.35778547000007	426.35778547000007	1000000.0	1000000.0	1000000.0	0.010624879174189285	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	0.7821365327622326	1000000.0	1000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.709392793622788	0.0	0.0										B			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.54696396811394	0.0	0.0				0.99						0.99						58.464065524327964						103.79289507938549						10.5135						18.0076			0	0	0	61	0	0	0	0	0	58	0	0	
0	AcCa(18:2)+H	AcCa(18:2)+H	AcCa	(18:2)	(18:2)			424.34213547	C25 H46 O4 N1	2.8087971637E7	2664118.838	1.944	21.755064603447245	3.0516367234687305	0.99	133.57475785639517	0.0	0.0	0.0	2.0598462621E7	0.0	0.0	0.0	0.0	0.0	2.8087971637E7	0.0	0.0	0.0	0.0	0.0	2551572.919	0.0	0.0	0.0	0.0	0.0	2664118.838	0.0	0.0																												1.938						1.946			0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.092	0.0	0.0	0.0	0.0	0.0	0.066	0.0	0.0	0.0	0.0	0.0	0.073	0.0	0.0				0.85						0.76			-65	-64	-63	-62	-61	-60	-59	-58	-57	310	-56	-55	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2				424.34214						424.342067			1.944	1.944	1.944	1.938	1.944	1.944	1.944	1.944	1.944	1.946	1.944	1.944										1486141.25			1	1	1	1	1	1	1	1	1	1	1	1	424.34213547	424.34213547	424.34213547	4.5299999555936665E-6	424.34213547	424.34213547	424.34213547	424.34213547	424.34213547	6.847000003062931E-5	424.34213547	424.34213547	1000000.0	1000000.0	1000000.0	0.010675347972635932	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	0.16135564750078885	1000000.0	1000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.48026995830554	0.0	0.0										B			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.4013497915277	0.0	0.0				0.89						0.99						155.35287474493518						133.57475785639517						28.0756						25.5064			0	0	0	48	0	0	0	0	0	45	0	0	
0	AcCa(18:3)+H	AcCa(18:3)+H	AcCa	(18:3)	(18:3)			422.3264854700001	C25 H44 O4 N1	1.12900777631E8	1.367798554E7	1.473	43.88957891722747	5.447835952869416	0.97	133.09354679343082	0.0	0.0	0.0	1.12900777631E8	0.0	0.0	0.0	0.0	0.0	5.942128290480001E7	0.0	0.0	0.0	0.0	0.0	1.2663267337E7	0.0	0.0	0.0	0.0	0.0	1.367798554E7	0.0	0.0																												1.477						1.46			0.0	0.0	0.0	0.072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				0.87						0.83			-76	-75	-74	246	-73	-72	-71	-70	-69	-68	-67	-66	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2				422.326447						422.32649			1.473	1.473	1.473	1.477	1.473	1.473	1.473	1.473	1.473	1.46	1.473	1.473				8025660.0									1	1	1	1	1	1	1	1	1	1	1	1	422.3264854700001	422.3264854700001	422.3264854700001	3.8470000106372026E-5	422.3264854700001	422.3264854700001	422.3264854700001	422.3264854700001	422.3264854700001	4.529999898750248E-6	422.3264854700001	422.3264854700001	1000000.0	1000000.0	1000000.0	0.09109066428443248	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	0.01072629838431489	1000000.0	1000000.0	0.0	0.0	0.0	8.000073551354857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				B									0.0	0.0	0.0	40.00036775677429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				0.97						0.8152513598217821						133.09354679343082						1.3696999E7						20.9457						3.7515			0	0	0	37	0	0	0	0	0	22	0	0	
0	CL(64:3)+H	CL(64:3)+H	CL	(64:3)	(64:3)			1347.93255747	C73 H137 O17 P2	1465729.152	304754.625	9.796	0.15401692714087678	0.6869987179887438	0.89	66.42942033142832	1462540.079	0.0	0.0	0.0	0.0	0.0	1465729.152	0.0	0.0	0.0	0.0	0.0	301808.056	0.0	0.0	0.0	0.0	0.0	304754.625	0.0	0.0	0.0	0.0	0.0																									9.81						9.795						0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8						1.0						-87	-86	-85	-84	-83	-82	1069	-81	-80	-79	-78	-77	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	1347.93256						1347.935687						9.81	9.796	9.796	9.796	9.796	9.796	9.795	9.796	9.796	9.796	9.796	9.796							270361.71875						1	1	1	1	1	1	1	1	1	1	1	1	2.530000074330019E-6	1347.93255747	1347.93255747	1347.93255747	1347.93255747	1347.93255747	0.0031295300000238058	1347.93255747	1347.93255747	1347.93255747	1347.93255747	1347.93255747	0.0018769485611941142	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	2.3217259518516062	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	0.0	0.0	0.0	0.0	0.0	0.0	8.986232038379352	0.0	0.0	0.0	0.0	0.0							D						0.0	0.0	0.0	0.0	0.0	0.0	29.95410679459784	0.0	0.0	0.0	0.0	0.0	0.94						0.89						352832.22						66.42942033142832						6.7356						5.7716						21	0	0	0	0	0	25	0	0	0	0	0	
0	CL(66:6)+H	CL(66:6)+H	CL	(66:6)	(66:6)			1369.9169074699998	C75 H135 O17 P2	2768636.684	442846.831	9.584	4.977226606536715	3.6984814734760536	0.96	34.40452834756406	2768636.684	0.0	0.0	0.0	0.0	0.0	2580381.69	0.0	0.0	0.0	0.0	0.0	442846.831	0.0	0.0	0.0	0.0	0.0	420274.303	0.0	0.0	0.0	0.0	0.0																									9.582						9.584						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0						1.0						-98	-97	-96	-95	-94	-93	1017	-92	-91	-90	-89	-88	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	1369.91691						1369.918284						9.582	9.584	9.584	9.584	9.584	9.584	9.584	9.584	9.584	9.584	9.584	9.584							294046.1875						1	1	1	1	1	1	1	1	1	1	1	1	2.530000074330019E-6	1369.9169074699998	1369.9169074699998	1369.9169074699998	1369.9169074699998	1369.9169074699998	0.0013765300002432923	1369.9169074699998	1369.9169074699998	1369.9169074699998	1369.9169074699998	1369.9169074699998	0.0018468273955407212	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1.004827367804012	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	0.0	0.0	0.0	0.0	0.0	0.0	8.337478042511645	0.0	0.0	0.0	0.0	0.0							D						0.0	0.0	0.0	0.0	0.0	0.0	27.791593475038816	0.0	0.0	0.0	0.0	0.0	0.96						0.97						34.40452834756406						28.78782938878909						5.5644						5.8558						26	0	0	0	0	0	23	0	0	0	0	0	
0	CL(67:6)+H	CL(67:6)+H	CL	(67:6)	(67:6)			1383.93255747	C76 H137 O17 P2	1730782.7	320785.973	9.645010071220051	5.863931172219168	0.31623512125322306	0.98	16.337296159333995	1730782.7	0.0	0.0	0.0	0.0	0.0	1592965.939	0.0	0.0	0.0	0.0	0.0	320785.973	0.0	0.0	0.0	0.0	0.0	319354.542	0.0	0.0	0.0	0.0	0.0																									9.65						9.642						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0						1.0						1036	-108	-107	-106	-105	-104	1022	-103	-102	-101	-100	-99	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	1383.934525						1383.935678						9.65	9.645010071220051	9.645010071220051	9.645010071220051	9.645010071220051	9.645010071220051	9.642	9.645010071220051	9.645010071220051	9.645010071220051	9.645010071220051	9.645010071220051	289328.09375						317426.625						1	1	1	1	1	1	1	1	1	1	1	1	0.001967530000001716	1383.93255747	1383.93255747	1383.93255747	1383.93255747	1383.93255747	0.0031205300001602154	1383.93255747	1383.93255747	1383.93255747	1383.93255747	1383.93255747	1.4216950019577577	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	2.254828086323029	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	13.093168555320863	0.0	0.0	0.0	0.0	0.0	7.065141331309809	0.0	0.0	0.0	0.0	0.0	D						D						43.64389518440287	0.0	0.0	0.0	0.0	0.0	23.55047110436603	0.0	0.0	0.0	0.0	0.0	0.98						0.8						16.337296159333995						18.971440953638744						7.8057						7.252						20	0	0	0	0	0	20	0	0	0	0	0	
